"Requirement ID","Requirement Type","Criterion/Authority","Title","Exact Requirement Summary","Applicability","Source URL","Evidence Expected","Test Method","Owner Function","Audit Questions","Pass Conditions","Failure Risks","Frequency","Effective Date","Due Date/Trigger","Notes"
"CERT-F3","Certification Criterion","§170.315(f)(3)","Reportable Laboratory Tests and Values/Results","Generate and transmit ELR to public health agencies using HL7 v2.5.1.","Optional","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","ELR message validation; LOINC/SNOMED CT coding evidence.","Test Procedure: test tools.","Product / Engineering; Interoperability","Can the system generate valid ELR messages with correct coding?","ELR test suite passes; coding validated.","Niche: relevant to lab-intensive settings only.","Initial certification if elected","2015; HTI-1 updated code sets","Mar 1, 2026 (code set update)","Niche criterion."
"CERT-F4","Certification Criterion","§170.315(f)(4)","Transmission to Cancer Registries","Generate and transmit cancer case information to cancer registries using HL7 CDA.","Optional","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","Cancer registry CDA validation; test tool output.","Test Procedure: test tools.","Product / Engineering","Can the system transmit cancer case data in valid CDA format?","CDA validation passes.","Niche: oncology practices only. HTI-5 proposes removal eff. Jan 1, 2027.","Initial certification if elected","2015 (2015 Edition Final Rule)","If certified, ongoing compliance required","Specialty-specific."
"CERT-F5","Certification Criterion","§170.315(f)(5)","Electronic Case Reporting (eCR)","Generate and transmit eICRs; receive reportability responses using HL7 CDA eCR standards and RCTC trigger codes.","CEHRT","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","eCR workflow demonstration; eICR document samples; RCTC trigger code integration evidence.","Conformance Method.","Product / Engineering; Interoperability","Can the system generate eICRs and receive reportability responses? Are RCTC trigger codes integrated?","eCR workflow demonstrated; eICR documents conformant.","PI eCR measure unsupported; certification failure.","Initial certification + standards update","2015; updated by HTI-1","Dec 31, 2026 (enforcement discretion per EDN2025.04 for standards compliance)","Required PI measure. Enforcement discretion relaxes standards requirements through Dec 31, 2026."
"CERT-F6","Certification Criterion","§170.315(f)(6)","Antimicrobial Use and Resistance Reporting","AU/AR reporting to NHSN.","Optional","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","Test procedure results; message validation.","Test Procedure.","Product / Engineering","Can the system transmit AU/AR data?","Test procedure passes.","Niche: primarily inpatient. HTI-5 proposes revision.","Initial certification if elected","2015 (2015 Edition Final Rule)","If certified, ongoing compliance required","Primarily inpatient."
"CERT-F7","Certification Criterion","§170.315(f)(7)","Healthcare Surveys","Survey data transmission to NHSN.","Optional","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","Test procedure results.","Test Procedure.","Product / Engineering","Can the system transmit healthcare survey data?","Test procedure passes.","Niche: primarily inpatient. HTI-5 proposes removal eff. Jan 1, 2027.","Initial certification if elected","2015 (2015 Edition Final Rule)","If certified, ongoing compliance required","Primarily inpatient."
"CERT-G1","Certification Criterion","§170.315(g)(1)","Automated Numerator Recording","Automatically record numerator data for CMS Promoting Interoperability measures.","CEHRT","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","Test procedure results; PI measure numerator recording evidence.","Test Procedure.","Product / Engineering","Does the system automatically record PI measure numerators?","Test procedure passes for all applicable measures.","Loss of CEHRT status; PI percentage measures unsupported. HTI-5 proposes removal eff. Jan 1, 2027.","Initial certification","2015 (2015 Edition Final Rule)","Prior to initial certification","Required by CEHRT definition (alternative to (g)(2))."
"CERT-G2","Certification Criterion","§170.315(g)(2)","Automated Measure Calculation","Automatically calculate PI program measures (numerator/denominator).","CEHRT","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","Test procedure results; calculation verification evidence.","Test Procedure.","Product / Engineering","Does the system automatically calculate PI measure percentages?","Test procedure passes; calculations verified.","Loss of CEHRT status. HTI-5 proposes removal eff. Jan 1, 2027.","Initial certification","2015 (2015 Edition Final Rule)","Prior to initial certification","Required by CEHRT definition (alternative to (g)(1))."
"CERT-G3","Certification Criterion","§170.315(g)(3)","Safety-Enhanced Design (SED)","Apply user-centered design processes; conduct summative usability testing; document per NISTIR 7742. Applies to (a)(1)-(a)(5), (a)(14), (b)(2), (b)(3), (b)(11).","Market-critical","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","UCD process documentation; summative usability test report (NISTIR 7742); task completion rates, error rates, satisfaction scores; quarterly UI change notifications to ONC-ACB.","Test Procedure: documentation review.","Product / Engineering; UX Research","Has UCD been applied to all applicable criteria? Is the usability report per NISTIR 7742? Are quarterly UI change notifications current?","NISTIR 7742 report complete; UCD processes documented; ONC-ACB notified of UI changes.","Certification failure for dependent criteria; public usability data gap.","Initial certification + quarterly UI change notifications","2015 (2015 Edition Final Rule)","Prior to initial certification; ongoing quarterly notifications","Required dependency for testing (a)(1)–(5), (a)(14), (b)(2), (b)(3), (b)(11). HTI-5 proposes removal."
"CERT-G4","Certification Criterion","§170.315(g)(4)","Quality Management System (QMS)","Use a QMS for each certified capability. Identify QMS standard used (ISO 9001, ISO 13485, or equivalent).","Market-critical","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","QMS documentation; identification of QMS standard(s); development/testing/release process descriptions.","Attestation + documentation review.","Quality Assurance; Engineering","Is a QMS in place and documented for all certified capabilities? Which standard is used?","QMS documentation on file; standard identified; processes described.","Certification failure. HTI-5 proposes removal.","Initial certification + ongoing maintenance","2015 (2015 Edition Final Rule)","Prior to initial certification","Required for all certification testing."
"CERT-G5","Certification Criterion","§170.315(g)(5)","Accessibility-Centered Design","Demonstrate accessibility was considered in design. Identify applicable standard (Section 508, WCAG 2.0).","Market-critical","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","Accessibility standard identification; design documentation showing accessibility considerations.","Attestation + documentation.","Product / Engineering; UX","Has accessibility been considered? Which standard is referenced?","Accessibility standard identified; design documentation on file.","Certification failure. HTI-5 proposes removal.","Initial certification + ongoing maintenance","2015 (2015 Edition Final Rule)","Prior to initial certification","Required for all certification testing."
"CERT-G6","Certification Criterion","§170.315(g)(6)","Consolidated CDA Creation Performance","Create C-CDA documents conformant to referenced standard for all criteria requiring C-CDA generation.","Market-critical","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","SITE C-CDA validator reports; C-CDA document samples.","Test Procedure: SITE C-CDA validators.","Product / Engineering","Are all generated C-CDA documents conformant to C-CDA R4.1?","SITE validator reports error-free for all C-CDA outputs.","Dependency failure for (b)(1), (e)(1), other C-CDA criteria. HTI-5 proposes removal.","Initial certification + C-CDA R4.1 update","2015; updated by HTI-1 (C-CDA R4.1)","Mar 1, 2026 (C-CDA R4.1 per EDN2025.06)","Dependency for all C-CDA-producing criteria."
"CERT-G7","Certification Criterion","§170.315(g)(7)","Application Access — Patient Selection","API-enabled patient selection capability.","Base EHR","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","API documentation; patient selection API demonstration.","Conformance Method.","Product / Engineering; API Team","Does the API support patient selection? Is it documented and available?","Patient selection API functional and documented.","Certification failure; loss of Base EHR status. HTI-5 proposes removal eff. Jan 1, 2027.","Initial certification; RWT annually","2015 (Cures Act Final Rule)","Prior to initial certification","Base EHR criterion. API Condition (§170.404) applies. Subject to RWT."
"CERT-G9","Certification Criterion","§170.315(g)(9)","Application Access — All Data Request","API-enabled access to all patient data (C-CDA format).","Base EHR","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","API documentation; all-data request demonstration; C-CDA output validated.","Test Procedure.","Product / Engineering; API Team","Does the API return all patient data? Is output valid C-CDA with USCDI v3?","API returns all data; C-CDA validated.","Certification failure; loss of Base EHR status. HTI-5 proposes removal eff. Jan 1, 2027.","Initial certification + USCDI v3/C-CDA R4.1 update; RWT annually","2015; updated by HTI-1","Mar 1, 2026 (USCDI v3 + C-CDA R4.1 per EDN2025.06)","Base EHR criterion. API Condition applies. Subject to RWT."
"CERT-G10","Certification Criterion","§170.315(g)(10)","Standardized API for Patient and Population Services (FHIR)","FHIR R4 API: single-patient data, Bulk Data, app registration, SMART on FHIR auth (v2.0.0), granular scopes, token revocation within 1 hour, documentation, service base URL publication. Must support all USCDI data elements via US Core 6.1.0 profiles.","Base EHR","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","Inferno (g)(10) Test Kit full pass report; FHIR CapabilityStatement; US Core profile conformance; SMART authorization evidence; Bulk Data export samples; documentation URL; sub-resource scope support evidence.","Test Procedure: Inferno ONC (g)(10) Test Kit v8.0.0 + visual inspection + documentation.","Product / Engineering; API Team","Does Inferno pass completely? Is SMART v2.0.0 supported? Are all US Core 6.1.0 profiles conformant? Is token revocation within 1 hour?","Inferno full pass (all tests green); SMART 2.0 functional; US Core 6.1.0 profiles valid; 1-hour token revocation verified.","Certification failure; loss of Base EHR status; API Condition violation; patient access failure.","Initial certification + US Core 6.1.0/SMART 2.0 update; RWT annually; Insights reporting","Jun 30, 2020 (Cures); US Core 6.1.0/SMART 2.0 by Mar 1, 2026","Mar 1, 2026 (US Core 6.1.0 + SMART 2.0 per EDN2025.06); Inferno v8.0.0 removes legacy IGs","Anchor criterion for patient/population access. API Condition (§170.404) applies. Subject to RWT. Insights Condition FHIR app metric."
"CERT-G31","Certification Criterion","§170.315(g)(31)","Coverage Requirements Discovery (CRD)","CRD Client using CDS Hooks; Da Vinci CRD IG. Check PA requirements from payers.","Market-critical","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","FHIR-based CRD workflow demonstration; Da Vinci IG conformance evidence.","Test Procedure.","Product / Engineering; API Team","Does the CRD client correctly invoke CDS Hooks and process payer responses?","CRD workflow demonstrated; IG conformance verified.","Competitive gap in prior authorization automation.","Initial certification","Oct 1, 2025 (HTI-4)","Upon certification; API Condition applies","New in HTI-4. API Condition (§170.404) applies."
"CERT-G32","Certification Criterion","§170.315(g)(32)","Documentation Templates and Rules (DTR)","DTR EHR Client; Da Vinci DTR IG. Retrieve and complete payer documentation templates.","Market-critical","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","DTR workflow demonstration; Da Vinci IG conformance evidence.","Test Procedure.","Product / Engineering; API Team","Can the system retrieve and complete payer documentation templates via FHIR?","DTR workflow demonstrated; IG conformance verified.","Competitive gap in prior authorization automation.","Initial certification","Oct 1, 2025 (HTI-4)","Upon certification; API Condition applies","New in HTI-4. API Condition applies."
"CERT-G33","Certification Criterion","§170.315(g)(33)","Prior Authorization Support (PAS)","PA submission using FHIR Subscriptions; Da Vinci PAS IG. Submit and track prior authorization requests.","Market-critical","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","PA workflow demonstration; Da Vinci PAS IG conformance evidence.","Test Procedure.","Product / Engineering; API Team","Can the system submit and track PA requests via FHIR?","PA workflow demonstrated; IG conformance verified.","Competitive gap in prior authorization automation.","Initial certification","Oct 1, 2025 (HTI-4)","Upon certification; API Condition applies","New in HTI-4. API Condition applies."
"CERT-H1","Certification Criterion","§170.315(h)(1)","Direct Project","Send and receive health information using Direct Project messaging (encrypted, signed S/MIME over SMTP).","Base EHR","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","ETT test results; Direct message exchange logs.","Test Procedure: Edge Testing Tool (ETT) on SITE.","Product / Engineering; Interoperability","Can the system send and receive Direct messages? Does ETT testing pass?","ETT tests pass; Direct messaging functional.","Certification failure; loss of Base EHR status. HTI-5 proposes removal.","Initial certification; RWT annually","2015 (2015 Edition Final Rule)","Prior to initial certification","Base EHR (either (h)(1) or (h)(2)). Subject to RWT."
"CERT-H2","Certification Criterion","§170.315(h)(2)","Direct Project, Edge Protocol, and XDR/XDM","Direct messaging plus Edge protocols (SMTP, XDR) and XDM processing. Delivery notification. Error handling for invalid test cases.","Optional","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","ETT test results; XDR/XDM processing evidence; delivery notification evidence; error handling evidence.","Test Procedure: ETT + SITE payloads.","Product / Engineering; Interoperability","Does the system support Edge protocols and XDR/XDM? Is delivery notification implemented?","ETT passes; XDR/XDM demonstrated; delivery notifications functional.","Transport interoperability limitation. HTI-5 proposes removal.","Initial certification if elected; RWT annually if certified","2015 (2015 Edition Final Rule)","If certified, ongoing compliance required","Alternative to (h)(1) for Base EHR."
"CERT-J20","Certification Criterion","§170.315(j)(20)","Workflow Triggers for DSI — Clients","Client-side support for CDS Hooks workflow triggers for decision support interventions in PA workflows.","Market-critical","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","CDS Hooks client demonstration; test procedure results.","Test Procedure.","Product / Engineering","Does the client correctly invoke CDS Hooks for PA workflow triggers?","Test procedure passes; CDS Hooks client functional.","Gap in PA automation capability.","Initial certification if elected","Oct 1, 2025 (HTI-4)","Upon certification","New in HTI-4. Co-certified with (g)(31)."
"CERT-J21","Certification Criterion","§170.315(j)(21)","Workflow Triggers for DSI — Services","Service-side support for FHIR Subscriptions for DSI.","Optional","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-C/section-170.315","FHIR Subscriptions service demonstration; test procedure results.","Test Procedure.","Product / Engineering","Does the service correctly support FHIR Subscriptions for DSI?","Test procedure passes.","Niche: PA service providers only.","Initial certification if elected","Oct 1, 2025 (HTI-4)","Upon certification","New in HTI-4."
"COC-IB-01","Condition of Certification","§170.401","Information Blocking — Prohibition","A certified health IT developer must not take any action that constitutes information blocking as defined in 45 CFR 171.103. Applies to ALL health IT and business practices — not just certified modules. 'Knows or should know' standard applies.","Ongoing","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-D","Policy documentation; training records; exception analysis per 45 CFR Part 171; attestation records; internal review documentation.","Ongoing compliance monitoring; semiannual attestation via §170.406.","Legal / Compliance; Product","Has the developer documented all practices that could interfere with EHI access/exchange/use? Is each mapped to an applicable exception?","All potentially blocking practices identified and documented; each mapped to valid exception with contemporaneous documentation.","OIG CMPs up to $1M per violation; certification suspension/termination; developer ban; OIG referrals to DOJ/FTC/CMS.","Ongoing (continuous); semiannual attestation","Apr 5, 2021","Ongoing — enforcement active since Sep 1, 2023 for developers","ASTP issuing investigation notices as of Mar 2026. Eight exceptions: Preventing Harm, Privacy, Security, Infeasibility, Health IT Performance, Content and Manner, Fees, Licensing."
"COC-IB-02","Condition of Certification","§170.401 / 45 CFR Part 171","Information Blocking — Fee Structure Review","Review fee structures, contractual terms, and technical restrictions against the Fees, Licensing, and Content and Manner exceptions under 45 CFR Part 171.","Ongoing","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-171","Fee schedule documentation; contractual term audit results; exception analysis documentation.","Internal legal/compliance review.","Legal / Compliance; Finance","Have all API fees and contractual restrictions been reviewed against IB exceptions? Are fee structures documented per the Fees exception requirements?","Fee structures conform to permitted categories; no contractual terms constitute information blocking.","OIG enforcement; $1M per violation; reputational damage.","Annual review + event-driven (new contracts/fee changes)","Apr 5, 2021","Ongoing","Review at each contract renewal or fee change."
"COC-IB-03","Condition of Certification","§170.401","Information Blocking — Complaint Response Process","Establish a process for responding to information blocking claims filed through the ASTP/ONC portal.","Ongoing","https://healthit.gov/information-blocking/","Written response process documentation; designated responsible party; response timeline tracking.","Process documentation review.","Legal / Compliance","Is there a documented process for responding to IB complaints? Who is the designated responder?","Process documented; responsible party designated; response timelines defined.","Delayed or inadequate response to OIG/ASTP inquiries; escalated enforcement.","Ongoing (process in place); triggered by complaints","Apr 5, 2021","Ongoing",""
"COC-ASSUR-01","Condition of Certification","§170.402","Assurances — No Information Blocking / Unrestricted Implementation","Provide assurances that the developer will not take actions constituting information blocking or inhibiting EHI exchange. Ensure full, unrestricted implementation of certified capabilities. Not interfere with user access to certified capabilities.","Ongoing","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-D","Contractual review documentation; customer deployment records; support ticket analysis for access restrictions.","Ongoing compliance monitoring; semiannual attestation.","Legal / Compliance; Customer Success","Are customers able to fully use all certified capabilities without contractual or technical restrictions?","No contractual/technical barriers to certified capabilities; customer access unrestricted.","Direct Review; certification suspension; customer loss of CEHRT eligibility.","Ongoing; semiannual attestation","Jun 30, 2020 (Cures Act Final Rule)","Ongoing",""
"COC-ASSUR-02","Maintenance of Certification","§170.402(b)(1)","Assurances — 10-Year Record Retention","Retain all records demonstrating initial and ongoing compliance with Conditions for 10 years from the date of certification.","Ongoing","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-D","Records retention policy; retention schedule; evidence of policy implementation.","Policy documentation review.","Legal / Compliance; IT Operations","Is there a 10-year retention policy tied to certification dates? Are records actually being retained?","Retention policy documented and implemented; records accessible for full 10-year period.","Inability to demonstrate compliance during Direct Review; adverse inference.","Ongoing (policy in place; records maintained continuously)","Jun 30, 2020 (Cures Act Final Rule)","Ongoing — 10 years from each certification date",""
"COC-ASSUR-03","Maintenance of Certification","§170.402(b)(2)","Assurances — EHI Export Deployment","Certify to §170.315(b)(10) EHI Export and deploy to customers for any product that electronically stores EHI.","Ongoing","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-D","Certification evidence for (b)(10); customer deployment records; format documentation URL.","Certification + deployment verification.","Product / Engineering; Customer Success","Is (b)(10) certified and deployed to all customers? Is format documentation publicly posted?","(b)(10) certified; deployed to all customers; format documentation public.","Assurances Condition violation; Direct Review; information blocking exposure.","Ongoing — must be certified and deployed","Dec 31, 2023 (deadline for (b)(10) certification)","Ongoing",""
"COC-ASSUR-04","Maintenance of Certification","§170.402(b)(3)-(4)","Assurances — Update Obligation","Update certified Health IT Modules to all applicable revised certification criteria (most recently adopted capabilities and standards). Provide updated modules to customers in a timely manner.","Ongoing","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-D","Release pipeline documentation; customer update deployment records; HTI-1 compliance evidence.","Release management review; customer notification records.","Product / Engineering; Customer Success","Are all modules updated to current criteria? Have updates been deployed to customers?","All modules updated per current timelines; customers notified and updated.","Certification non-conformity; Direct Review; customer CEHRT eligibility loss.","Ongoing; triggered by new rule compliance dates","Jun 30, 2020 (Cures Act Final Rule)","HTI-1 updates by Mar 1, 2026 (extended); HTI-4 updates by Jan 1, 2028","Track all compliance deadlines from new rulemaking."
"COC-ASSUR-05","Maintenance of Certification","§170.402 / §170.315(b)(11)","Assurances — DSI Source Attribute Review","Starting January 1, 2025 and ongoing, review and update source attribute information, intervention risk management practices, and summary information for modules certified to (b)(11).","Ongoing","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-D","Source attribute review documentation; update records; risk management review logs.","Periodic documentation review.","Product / Engineering; Clinical Informatics","Are source attributes reviewed and current? Are risk management practices updated?","Source attributes current; risk management documentation reflects current state.","Assurances Condition violation; AI transparency non-compliance.","Ongoing (at least annually)","Jan 1, 2025","Ongoing","Applies only if certified to (b)(11)."
"COC-COMM-01","Condition of Certification","§170.403","Communications — No Gag Clauses","Developer must not prohibit or restrict communications about usability, interoperability, security, user experiences, business practices, or manner of use of certified health IT.","Ongoing","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-D","Customer contract audit results; template contract review; evidence that no restrictive provisions exist.","Contract audit; semiannual attestation.","Legal / Compliance","Do any customer contracts contain gag clauses? Have all legacy provisions been identified?","No gag clauses in any current contracts; legacy provisions identified and scheduled for removal.","Direct Review; certification suspension; reputational damage.","Ongoing; annual customer notification until legacy provisions removed","Jun 30, 2020 (Cures Act Final Rule)","Ongoing",""
"COC-COMM-02","Maintenance of Certification","§170.403","Communications — Annual Customer Notification","Starting CY 2021, annually notify all customers that contravening communication provisions will not be enforced, until the developer amends the contract to remove them.","Ongoing","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-D","Annual notification records (dates, recipients, content); delivery confirmation.","Records review.","Legal / Compliance; Customer Success","Has the annual notification been sent to all customers? Are delivery records maintained?","Notifications sent annually; delivery records on file.","Maintenance of Certification violation; Direct Review risk.","Annual (each CY)","CY 2021","Annually until all legacy provisions removed from all contracts","Not needed if no legacy gag clauses exist."
"COC-COMM-03","Maintenance of Certification","§170.403","Communications — Contract Amendment","Must not establish, renew, or enforce any contravening contract provision as of June 30, 2020. Must amend legacy provisions at next contract modification or renewal.","Ongoing","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-D","Contract amendment tracking log; evidence of legacy provision removal.","Contract review.","Legal / Compliance","Are all new/renewed contracts free of gag clauses? Is there a tracking log for legacy amendments?","All contracts compliant; legacy amendment log current.","Maintenance of Certification violation; Direct Review.","Ongoing; triggered by each contract renewal","Jun 30, 2020","At each contract modification or renewal",""
"COC-API-01","Condition of Certification","§170.404","API Condition — Publish Documentation & Terms","Publish complete business and technical API documentation via publicly accessible hyperlink. Publish terms and conditions including any fees.","Ongoing","https://onc-healthit.github.io/api-resource-guide/404-conditions-maintenance/","Published API documentation URL; terms and conditions URL; fee schedule.","URL verification; documentation completeness review.","Product / Engineering; API Team","Is API documentation publicly accessible? Are terms and fees published?","Documentation URL live and complete; terms published; fee schedule available.","API Condition violation; Direct Review; information blocking exposure.","Ongoing; update when APIs change","Jun 30, 2020 (Cures Act Final Rule)","Ongoing","Applies to modules certified to (g)(7)–(10), (g)(31)–(33)."
"COC-API-02","Maintenance of Certification","§170.404","API Condition — Service Base URL Publication","Publish organization-level FHIR endpoint directory (service base URLs) in FHIR format.","Ongoing","https://onc-healthit.github.io/api-resource-guide/404-conditions-maintenance/","Service Base URL endpoint list; FHIR format verification; public accessibility evidence.","URL verification; FHIR format validation.","Product / Engineering; API Team","Is the Service Base URL list published in FHIR format? Is it publicly accessible?","Service Base URL published; FHIR format validated; publicly accessible.","API Condition violation; Direct Review.","Ongoing; update as endpoints change","Dec 31, 2024 (per HTI-1)","Due Dec 31, 2024; ongoing maintenance",""
"COC-API-03","Maintenance of Certification","§170.404","API Condition — App Registration","Register third-party applications for production use. Authenticity verification. Registration within timeframes.","Ongoing","https://onc-healthit.github.io/api-resource-guide/404-conditions-maintenance/","App registration SLA tracking; registration process documentation; turnaround time records.","Registration log review; SLA compliance check.","Product / Engineering; API Team","Is the app registration process operational? What are actual turnaround times? Are any apps being denied?","Registration process documented; turnaround times within SLA; no unreasonable denials.","API Condition violation; information blocking risk.","Ongoing; triggered by app registration requests","Jun 30, 2020 (Cures Act Final Rule)","Ongoing","Registration within 5 business days per API Resource Guide."
"COC-API-04","Condition of Certification","§170.404","API Condition — No Unreasonable Fees / Pro-Competitive","Comply with permitted and prohibited fee requirements. Abide by openness and pro-competitive conditions. Retain fee records.","Ongoing","https://onc-healthit.github.io/api-resource-guide/404-conditions-maintenance/","Fee schedule with justification per permitted categories; pro-competitive practices documentation; fee records.","Fee structure review; competitive practices assessment.","Legal / Compliance; Finance; API Team","Are all API fees within permitted categories? Are there any anti-competitive restrictions?","Fees within permitted categories; no anti-competitive practices.","API Condition violation; information blocking; Direct Review.","Ongoing; review upon fee changes","Jun 30, 2020 (Cures Act Final Rule)","Ongoing",""
"COC-RWT-01","Condition of Certification","§170.405","Real World Testing — Annual Plan","Develop and submit annual RWT plan demonstrating real-world interoperability. Plan due to ONC-ACB; published on CHPL by December 15.","Ongoing","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-D","RWT plan document; CHPL publication URL; ONC-ACB submission receipt.","Plan document review; CHPL verification.","Product / Engineering; Quality Assurance","Is the RWT plan submitted on time? Does it cover all required criteria? Is it on CHPL?","Plan submitted to ONC-ACB and published on CHPL by Dec 15; covers all required criteria with methods, settings, metrics.","RWT Condition violation; Direct Review; certification risk.","Annual (by December 15)","CY 2021","December 15 annually (2026 plan NOT required per EDN2025.03)","EDN2025.03: No 2026 RWT plan required. Monitor for changes."
"COC-RWT-02","Condition of Certification","§170.405","Real World Testing — Annual Results Report","Submit RWT results report to ONC-ACB; publish on CHPL by March 15. Must report non-conformities to ONC-ACB within 30 days of discovery.","Ongoing","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-D","RWT results report; CHPL publication URL; metric data; non-conformity log; ONC-ACB submission receipt.","Results report review; CHPL verification; non-conformity log review.","Product / Engineering; Quality Assurance","Are RWT results submitted and published on time? Are non-conformities reported within 30 days?","Results published on CHPL by Mar 15; metrics complete; non-conformities timely reported.","RWT Condition violation; Direct Review; certification risk.","Annual (by March 15)","CY 2021","March 15 annually (2025 results for (g)(7)-(10) only per EDN2025.03)","EDN2025.03: Only (g)(7)-(10) results required for CY 2025. All other criteria exempt."
"COC-RWT-03","Condition of Certification","§170.405","Real World Testing — Non-Conformity Reporting","If developer discovers non-conformity during RWT, report to ONC-ACB within 30 days.","Ongoing","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-D","Non-conformity log; ONC-ACB notification records; corrective action documentation.","Non-conformity log review; notification timeline verification.","Quality Assurance; Compliance","Are non-conformities tracked? Were any reported within 30 days?","Non-conformity log maintained; all discoveries reported within 30 days.","Escalated enforcement; certification risk.","Event-driven (within 30 days of discovery)","CY 2021","Within 30 days of each non-conformity discovery",""
"COC-ATTEST-01","Condition of Certification","§170.406","Attestations — Semiannual Compliance Attestation","Semiannual attestation of compliance with §170.401-405. Must indicate compliance, noncompliance, or inapplicability for each Condition. April window (Oct-Mar) by Apr 30; October window (Apr-Sep) by Oct 31.","Ongoing","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-D","Attestation submission records; compliance status per condition; noncompliance explanations; corrective action references.","Attestation submission verification; compliance basis documentation review.","Legal / Compliance; Executive","Were attestations submitted on time? Is there documented basis for each compliance assertion? Was noncompliance properly disclosed?","Attestations submitted within windows; compliance basis documented; noncompliance disclosed if applicable.","Attestation Condition violation; public visibility of missing/late attestation on CHPL; Direct Review.","Semiannual (April 30 and October 31)","Apr 1, 2022","April 30 and October 31 each year","Noncompliance attestation does not auto-trigger Direct Review if corrective action underway. Authorized representative must legally bind the developer."
"COC-INSIGHTS-01","Condition of Certification","§170.407","Insights Condition — FHIR App Usage Reporting","Report 'use of FHIR in apps through certified health IT' measure (§170.407(a)(3)(iv)). Only enforced Insights measure per EDN2025.02. All other measures deferred.","Ongoing","https://www.ecfr.gov/current/title-45/subtitle-A/subchapter-D/part-170/subpart-D","FHIR API usage instrumentation data; reporting submission; publicly accessible hyperlink to Insights data.","Data collection verification; reporting submission review.","Product / Engineering; API Team; Compliance","Is FHIR API usage data being collected? Is the system ready to report by July 2027?","FHIR app usage data instrumented; data collection operational; ready for Phase 1 reporting.","Insights Condition violation; Direct Review risk (post-July 2027).","Annual (starting July 2027 for Phase 1)","HTI-1 (Jan 9, 2024)","Phase 1: July 2027. Eligibility: ≥50 hospitals OR ≥500 clinicians using (g)(10) products.","EDN2025.02: All other Insights measures suspended. Only FHIR app measure enforced. Phases 2 (Jul 2028) and 3 (Jul 2029) pending."
